Date,Open,High,Low,Close,P/E,P/B,Div Yield %
2007-09-17,4518.4501953125,4549.0498046875,4482.85009765625,4494.64990234375,20.618101782710436,4.0049366751729885,1.6580075452045733
2007-09-18,4494.10009765625,4551.7998046875,4481.5498046875,4546.2001953125,29.260714596148745,2.602587697962431,2.1730027383909123
2007-09-19,4550.25,4739.0,4550.25,4732.35009765625,25.979909127171076,3.4850707614285783,2.1759287771467615
2007-09-20,4734.85009765625,4760.85009765625,4721.14990234375,4747.5498046875,23.979877262955547,3.38421406935944,1.6798926587887895
2007-09-21,4752.9501953125,4855.7001953125,4733.7001953125,4837.5498046875,17.34027960663655,3.1688023579774973,2.188284907412868
2007-09-24,4837.14990234375,4941.14990234375,4837.14990234375,4932.2001953125,17.33991780504304,3.2891446306378476,2.257932694297085
2007-09-25,4939.10009765625,4953.89990234375,4878.14990234375,4938.85009765625,15.871254182522993,3.559881173860466,1.9821636269263903
2007-09-26,4937.60009765625,4980.85009765625,4930.35009765625,4940.5,27.99264218662403,2.8227347167767665,1.3426387784626304
2007-09-27,4942.7001953125,5016.39990234375,4942.7001953125,5000.5498046875,24.01672517614813,3.6439917565671855,1.4110176705783213
2007-09-28,4996.4501953125,5055.7998046875,4996.4501953125,5021.35009765625,25.621088666940683,4.110864658599972,1.4722617331131032
2007-10-01,5021.5,5089.2998046875,5001.35009765625,5068.9501953125,15.308767414437037,4.020321859580318,1.175206161600928
2007-10-03,5069.0,5261.35009765625,5034.14990234375,5210.7998046875,29.548647782429917,2.8077998093875474,1.4097394305549176
2007-10-04,5211.64990234375,5233.10009765625,5126.0498046875,5208.64990234375,27.48663961200633,2.798498939482948,1.314278836468798
2007-10-05,5208.14990234375,5248.5498046875,5164.5,5185.85009765625,18.185086660174143,3.0363487354898266,1.6829931247129033
2007-10-08,5186.25,5249.2998046875,5024.75,5085.10009765625,17.727374508106507,3.2221494526820744,2.362656321808397
2007-10-09,5062.64990234375,5348.7001953125,5000.9501953125,5327.25,17.751067647801506,3.3169111628169654,1.1567204751309372
2007-10-10,5328.14990234375,5454.7001953125,5328.14990234375,5441.4501953125,19.563633644393065,3.8593944336666905,2.080401885921093
2007-10-11,5438.89990234375,5532.75,5424.25,5524.85009765625,22.871346474483566,2.613360864331671,2.0309245066196917
2007-10-12,5525.2998046875,5549.2998046875,5402.60009765625,5428.25,21.479175279631736,2.5693454084521328,1.1436312979950365
2007-10-15,5428.35009765625,5682.64990234375,5419.89990234375,5670.39990234375,19.368437102970628,3.283821125887818,2.3838586073587003
2007-10-16,5670.64990234375,5708.35009765625,5578.4501953125,5668.0498046875,24.17779342083569,3.894327384275961,1.8527083032352294
2007-10-17,5658.89990234375,5658.89990234375,5107.2998046875,5559.2998046875,17.092407909780626,2.886870685912965,1.5455882817035262
2007-10-18,5551.10009765625,5736.7998046875,5269.64990234375,5351.0,19.382169728028273,3.783008962512503,2.1348078752429602
2007-10-19,5360.35009765625,5390.85009765625,5101.75,5215.2998046875,20.495427649405375,3.0196562758805987,1.386048187602451
2007-10-22,5202.75,5247.39990234375,5070.89990234375,5184.0,21.84104976325554,4.272172217627032,2.0402647555694804
2007-10-23,5185.2998046875,5488.5,5176.85009765625,5473.7001953125,26.777639420895206,4.291379888533233,1.059566811358371
2007-10-24,5477.60009765625,5577.89990234375,5419.39990234375,5496.14990234375,17.995106732375397,3.0945744085626528,2.259112056413908
2007-10-25,5499.0498046875,5605.9501953125,5469.2998046875,5568.9501953125,22.713516576204174,2.9599875079264812,1.6722562705319777
2007-10-26,5564.25,5716.89990234375,5513.35009765625,5702.2998046875,23.886218532930638,3.3226079441324625,1.9550393715369125
2007-10-29,5708.89990234375,5922.5,5708.89990234375,5905.89990234375,15.696756190799967,2.981063170360297,1.3318567297100254
2007-10-30,5917.5498046875,5976.0,5833.89990234375,5868.75,24.113172778521573,3.844767686583407,2.0156105689876718
2007-10-31,5868.89990234375,5952.25,5861.2998046875,5900.64990234375,17.557861855309373,4.152129369096571,2.158360413839915
2007-11-01,5903.7998046875,6011.9501953125,5837.2001953125,5866.4501953125,15.975773894779193,3.846184261822434,1.709819780326598
2007-11-02,5854.85009765625,5944.75,5714.25,5932.39990234375,29.233283058799998,4.148700894498699,1.9265903860926914
2007-11-05,5931.89990234375,5948.5498046875,5819.60009765625,5847.2998046875,29.48448049611839,3.2939843244149483,1.6844888857335978
2007-11-06,5847.10009765625,5957.2001953125,5759.9501953125,5786.5,27.125960221746915,2.8126339414177215,2.341137053886768
2007-11-07,5782.39990234375,5861.35009765625,5744.2998046875,5782.35009765625,19.56920653760056,3.975901894795184,1.7468037707714787
